Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS}
Test,SC,SC_9_11__pl_5,5,Yes,5.0,11.0,122.0,18.0,46.0,57.0,Yes,8.0,21.0,189.0,18.0,114.0,56.0
Training,SC,SC_9_11__pl_6,6,Yes,6.0,26.0,198.0,16.0,130.0,51.0,Yes,509.0,5116.0,48319.0,21.0,48013.0,284.0
Test,SC,SC_9_11__pl_7,7,Yes,7.0,41.0,326.0,19.0,228.0,78.0,Yes,1286.0,15107.0,202732.0,18.0,201444.0,1269.0
Training,SC,SC_9_11__pl_8,8,Yes,8.0,66.0,500.0,19.0,422.0,58.0,Yes,1099.0,12447.0,152051.0,20.0,151169.0,861.0
Test,SC,SC_9_11__pl_9,9,Yes,9.0,237.0,2041.0,21.0,1932.0,87.0,TO,,,,,,
Test,SC,SC_9_11__pl_10,10,Yes,10.0,657.0,6013.0,20.0,5788.0,204.0,TO,,,,,,
Test,SC,SC_9_11__pl_11,11,Yes,11.0,1272.0,12372.0,19.0,12011.0,341.0,TO,,,,,,
Test,SC,SC_10_8__pl_9,9,TO,,,,,,,TO,,,,,,
Training,SC,SC_10_8__pl_10,10,Yes,10.0,10.0,108.0,17.0,34.0,56.0,Yes,10.0,10.0,137.0,16.0,37.0,83.0
Test,SC,SC_10_8__pl_14,14,Yes,14.0,93.0,572.0,16.0,472.0,83.0,Yes,16.0,33.0,252.0,17.0,174.0,60.0
Training,SC,SC_10_8__pl_15,15,Yes,15.0,130.0,822.0,17.0,730.0,74.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_2,2,Yes,2.0,6.0,311.0,31.0,195.0,84.0,Yes,3.0,8.0,315.0,32.0,220.0,62.0
Test,SCRich,SC_10_10__pl_3,3,Yes,3.0,10.0,347.0,30.0,259.0,57.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_6,6,Yes,6.0,298.0,8135.0,33.0,8003.0,98.0,TO,,,,,,
Training,SCRich,SC_10_10__pl_7,7,Yes,7.0,589.0,16064.0,27.0,15908.0,128.0,TO,,,,,,
Test,SC,SC_10_10__pl_9,9,Yes,9.0,10.0,117.0,18.0,37.0,61.0,Yes,9.0,10.0,132.0,19.0,32.0,80.0
Test,SCRich,SC_10_10__pl_9,9,Yes,9.0,1248.0,32644.0,29.0,32475.0,139.0,Yes,12.0,57.0,1589.0,30.0,1476.0,82.0
Test,SC,SC_10_10__pl_10,10,Yes,10.0,15.0,161.0,20.0,60.0,80.0,Yes,11.0,17.0,176.0,20.0,75.0,80.0
Training,SCRich,SC_10_10__pl_10,10,Yes,10.0,1977.0,51904.0,32.0,51650.0,221.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_13,13,Yes,13.0,17305.0,472785.0,32.0,471179.0,1573.0,TO,,,,,,
Training,SC,SC_10_10__pl_13,13,Yes,13.0,51.0,358.0,18.0,282.0,57.0,Yes,17.0,49.0,400.0,18.0,322.0,59.0
Test,SCRich,SC_10_10__pl_14,14,TO,,,,,,,TO,,,,,,
Test,SC,SC_10_10__pl_17,17,Yes,17.0,942.0,7546.0,21.0,7334.0,190.0,TO,,,,,,
Test,SCRich,SC_10_10__pl_17,17,TO,,,,,,,TO,,,,,,
