Mode,Domain,Problem,pl,Goal {AstarGNN},Length {AstarGNN},Nodes {AstarGNN},Total (ms) {AstarGNN},Init (ms) {AstarGNN},Search (ms) {AstarGNN},Overhead (ms) {AstarGNN},Goal {BFS},Length {BFS},Nodes {BFS},Total (ms) {BFS},Init (ms) {BFS},Search (ms) {BFS},Overhead (ms) {BFS},Goal {p5},Length {p5},Nodes {p5},Total (ms) {p5},Init (ms) {p5},Search (ms) {p5},Overhead (ms) {p5},Search {p5}
Test,SC,SC_4_2__pl_5,5,Yes,5.0,15.0,132.0,7.0,50.0,74.0,Yes,5.0,15.0,99.0,3.0,46.0,49.0,Yes,5.0,30.0,184.0,6.0,117.0,60.0,A*(GNN)
Training,SC,SC_4_2__pl_7,7,Yes,7.0,120.0,609.0,9.0,513.0,86.0,Yes,7.0,120.0,545.0,5.0,461.0,78.0,Yes,7.0,97.0,533.0,7.0,460.0,65.0,A*(GNN)
Test,SC,SC_4_2__pl_8,8,Yes,8.0,339.0,1639.0,3.0,1550.0,85.0,Yes,8.0,339.0,1316.0,2.0,1231.0,82.0,Yes,8.0,184.0,923.0,7.0,852.0,63.0,A*(GNN)
Training,SC,SC_4_3__pl_5,5,Yes,5.0,17.0,116.0,5.0,37.0,73.0,Yes,5.0,17.0,62.0,2.0,22.0,37.0,Yes,5.0,17.0,98.0,8.0,30.0,59.0,A*(GNN)
Test,SC,SC_4_3__pl_6,6,Yes,6.0,21.0,162.0,8.0,37.0,116.0,Yes,6.0,21.0,113.0,1.0,34.0,77.0,Yes,6.0,21.0,93.0,5.0,35.0,52.0,A*(GNN)
Test,SC,SC_4_3__pl_8,8,Yes,8.0,59.0,186.0,2.0,115.0,68.0,Yes,8.0,59.0,156.0,2.0,89.0,64.0,Yes,8.0,59.0,177.0,6.0,99.0,71.0,A*(GNN)
Test,SC,SC_4_4__pl_5,5,Yes,5.0,17.0,125.0,7.0,32.0,85.0,Yes,5.0,17.0,87.0,2.0,25.0,59.0,Yes,5.0,17.0,91.0,5.0,26.0,59.0,A*(GNN)
Training,SC,SC_8_10__pl_6,6,Yes,6.0,49.0,315.0,9.0,262.0,43.0,Yes,6.0,49.0,343.0,9.0,267.0,66.0,Yes,6.0,113.0,882.0,19.0,800.0,62.0,A*(GNN)
Test,SC,SC_8_10__pl_8,8,Yes,8.0,542.0,5157.0,28.0,4969.0,159.0,Yes,8.0,542.0,3841.0,11.0,3715.0,114.0,Yes,8.0,485.0,4121.0,18.0,3968.0,134.0,A*(GNN)
Test,SC,SC_8_10__pl_9,9,Yes,9.0,1660.0,17268.0,23.0,16772.0,472.0,Yes,9.0,1660.0,14557.0,12.0,14213.0,331.0,Yes,9.0,1772.0,16936.0,15.0,16472.0,448.0,A*(GNN)
Test,SC,SC_8_10__pl_12,12,Yes,12.0,31662.0,199243.0,20.0,196737.0,2485.0,Yes,12.0,31662.0,203157.0,11.0,201065.0,2080.0,Yes,12.0,35063.0,281914.0,21.0,278217.0,3675.0,A*(GNN)
Test,SC,SC_9_11__pl_4,4,Yes,4.0,8.0,143.0,14.0,30.0,98.0,Yes,4.0,8.0,141.0,13.0,60.0,67.0,Yes,4.0,8.0,139.0,20.0,32.0,86.0,A*(GNN)
Test,SC,SC_9_11__pl_5,5,Yes,5.0,11.0,152.0,29.0,47.0,75.0,Yes,5.0,11.0,96.0,11.0,32.0,52.0,Yes,5.0,11.0,122.0,18.0,46.0,57.0,A*(GNN)
Training,SC,SC_9_11__pl_6,6,Yes,6.0,26.0,179.0,13.0,121.0,44.0,Yes,6.0,26.0,161.0,12.0,109.0,39.0,Yes,6.0,26.0,198.0,16.0,130.0,51.0,A*(GNN)
Test,SC,SC_9_11__pl_7,7,Yes,7.0,41.0,431.0,28.0,323.0,79.0,Yes,7.0,41.0,299.0,11.0,223.0,64.0,Yes,7.0,41.0,326.0,19.0,228.0,78.0,A*(GNN)
